"Županije","Mjesec","Tip","2016 Domaći","2016 Strani","2017 Domaći","2017 Strani","2018 Domaći","2018 Strani"
"ZADARSKA","VI","Noćenja",84025,762106,105908,1056120,131306,1033684
"ZADARSKA","VII","Dolasci",43691,383540,50042,436585,50824,435667
"ZADARSKA","VII","Noćenja",270482,2526717,304757,2870504,316336,2988552
"ZADARSKA","VIII","Dolasci",44921,375256,47840,398704,54648,414685
"ZADARSKA","VIII","Noćenja",331836,2775914,360415,2948635,393530,3001304
"ZADARSKA","IX","Dolasci",13379,125796,11880,136980,16262,147293
"ZADARSKA","IX","Noćenja",48195,787829,45854,812826,57404,804258
"ZADARSKA","X","Dolasci",9125,40623,8499,47731,8431,52856
"ZADARSKA","X","Noćenja",19554,124656,16829,143158,17151,150047
"ZADARSKA","XI","Dolasci",4263,6911,7064,11097,6190,11553
"ZADARSKA","XI","Noćenja",8032,15527,12574,23349,10979,22039
"ZADARSKA","XII","Dolasci",3600,6091,3200,8216,4719,10125
"ZADARSKA","XII","Noćenja",6614,13709,5596,16222,8261,19044
"OSJEČKO-BARANJSKA","I","Dolasci",2762,1088,3211,1134,3633,1315
"OSJEČKO-BARANJSKA","I","Noćenja",5546,2397,6107,2842,7184,3253
"OSJEČKO-BARANJSKA","II","Dolasci",3274,1355,3470,1466,3406,1811
"OSJEČKO-BARANJSKA","II","Noćenja",5840,2738,6407,3870,6795,4130
"OSJEČKO-BARANJSKA","III","Dolasci",4061,1704,4672,1779,4668,2063
"OSJEČKO-BARANJSKA","III","Noćenja",7541,3702,7584,3801,8453,4685
"OSJEČKO-BARANJSKA","IV","Dolasci",5106,2571,5140,2858,5645,3088
"OSJEČKO-BARANJSKA","IV","Noćenja",9258,5564,9368,5582,9839,6120
"OSJEČKO-BARANJSKA","V","Dolasci",6254,3181,5370,3840,6184,4529
"OSJEČKO-BARANJSKA","V","Noćenja",11412,6478,9597,7607,10839,9388
"OSJEČKO-BARANJSKA","VI","Dolasci",4719,3233,4964,3503,5187,4116
"OSJEČKO-BARANJSKA","VI","Noćenja",8819,6300,9254,7045,10126,7658
"OSJEČKO-BARANJSKA","VII","Dolasci",3260,3396,3452,4020,3434,4583
